	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
AM-388-B05_contigs_AM-388-B05_NODE_58_8	AM-388-B05_contigs	AM-388-B05_NODE_58	8	6244	6858	-1	C	K15519	deoxyadenosine/deoxycytidine kinase [EC:2.7.1.76 2.7.1.74]								Deoxynucleoside kinase [PF01712.22]					0
AM-388-B05_contigs_AM-388-B05_NODE_58_9	AM-388-B05_contigs	AM-388-B05_NODE_58	9	6924	8369	-1	D										GH3 auxin-responsive promoter [PF03321.16]					0
AM-388-B05_contigs_AM-388-B05_NODE_59_1	AM-388-B05_contigs	AM-388-B05_NODE_59	1	1	837	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_59_2	AM-388-B05_contigs	AM-388-B05_NODE_59	2	858	1517	-1	D										Disaggregatase related repeat [PF06848.14]					0
AM-388-B05_contigs_AM-388-B05_NODE_59_3	AM-388-B05_contigs	AM-388-B05_NODE_59	3	1546	2610	-1	D			MER0422047	S12	MER0422047 - family S12 unassigned peptidases (Marivirga tractuosa) [S12.UPW]#S12#{peptidase unit: 60-323}~source YP_004053417~	True	0.71	377.0	1.697e-115	Beta-lactamase [PF00144.27]					0
AM-388-B05_contigs_AM-388-B05_NODE_59_4	AM-388-B05_contigs	AM-388-B05_NODE_59	4	2612	3571	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_59_5	AM-388-B05_contigs	AM-388-B05_NODE_59	5	3573	4529	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_59_6	AM-388-B05_contigs	AM-388-B05_NODE_59	6	4594	5817	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_59_7	AM-388-B05_contigs	AM-388-B05_NODE_59	7	5814	8210	-1	D										Beta-lactamase superfamily domain [PF13483.9]; Beta-lactamase superfamily domain [PF12706.10]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_1	AM-388-B05_contigs	AM-388-B05_NODE_6	1	2	703	1	C	K00615	transketolase [EC:2.2.1.1]								Transketolase, thiamine diphosphate binding domain [PF00456.24]; Dehydrogenase E1 component [PF00676.23]; 1-deoxy-D-xylulose-5-phosphate synthase [PF13292.9]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_2	AM-388-B05_contigs	AM-388-B05_NODE_6	2	795	2117	1	D										von Willebrand factor type A domain [PF00092.31]; von Willebrand factor type A domain [PF13768.9]; von Willebrand factor type A domain [PF13519.9]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_3	AM-388-B05_contigs	AM-388-B05_NODE_6	3	2151	3104	1	C	K00615	transketolase [EC:2.2.1.1]								Transketolase, pyrimidine binding domain [PF02779.27]; Transketolase, C-terminal domain [PF02780.23]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_4	AM-388-B05_contigs	AM-388-B05_NODE_6	4	3607	5715	-1	D			MER0702883	C25	MER0702883 - family C25 unassigned peptidases () [C25.UPW]#C25#{peptidase unit: 217-455}~source PLX04293~	False	0.608	286.0	2.302e-79	Peptidase family C25 [PF01364.21]; Propeptide_C25 [PF08126.14]; Secretion system C-terminal sorting domain [PF18962.3]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_5	AM-388-B05_contigs	AM-388-B05_NODE_6	5	5687	5932	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_6_6	AM-388-B05_contigs	AM-388-B05_NODE_6	6	6216	7388	-1	D										FMN-binding domain [PF04205.17]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_7	AM-388-B05_contigs	AM-388-B05_NODE_6	7	7448	7606	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_6_8	AM-388-B05_contigs	AM-388-B05_NODE_6	8	7648	9069	-1	C	K18979	epoxyqueuosine reductase [EC:1.17.99.6]								Reductive dehalogenase subunit [PF13486.9]; 4Fe-4S double cluster binding domain [PF13484.9]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_9	AM-388-B05_contigs	AM-388-B05_NODE_6	9	9020	9307	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_6_10	AM-388-B05_contigs	AM-388-B05_NODE_6	10	9506	9994	1	C	K00891	shikimate kinase [EC:2.7.1.71]								Shikimate kinase [PF01202.25]; AAA domain [PF13238.9]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_11	AM-388-B05_contigs	AM-388-B05_NODE_6	11	9968	11410	-1	C	K03215	23S rRNA (uracil1939-C5)-methyltransferase [EC:2.1.1.190]								tRNA (Uracil-5-)-methyltransferase [PF05958.14]; TRAM domain [PF01938.23]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_12	AM-388-B05_contigs	AM-388-B05_NODE_6	12	11453	13021	1	C	K23997	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]								Carbohydrate kinase [PF01256.20]; YjeF-related protein N-terminus [PF03853.18]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_13	AM-388-B05_contigs	AM-388-B05_NODE_6	13	13039	13620	-1	D										Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD [PF00160.24]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_14	AM-388-B05_contigs	AM-388-B05_NODE_6	14	13639	15495	-1	D										DNA gyrase B [PF00204.28]; Toprim domain [PF01751.25]; DNA gyrase B subunit, carboxyl terminus [PF00986.24]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_15	AM-388-B05_contigs	AM-388-B05_NODE_6	15	15601	16524	-1	D										EamA-like transporter family [PF00892.23]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_16	AM-388-B05_contigs	AM-388-B05_NODE_6	16	16784	17596	1	D										Methyltransferase domain [PF13578.9]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_17	AM-388-B05_contigs	AM-388-B05_NODE_6	17	17813	19099	-1	D										Polysaccharide biosynthesis protein [PF01943.20]; Polysaccharide biosynthesis C-terminal domain [PF14667.9]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_18	AM-388-B05_contigs	AM-388-B05_NODE_6	18	19111	20301	-1	D										Glycosyl transferases group 1 [PF00534.23]; Glycosyl transferases group 1 [PF13692.9]; Glycosyltransferase Family 4 [PF13439.9]	GT4	GT4 sucrose synthase (EC 2.4.1.13); sucrose-phosphate synthase (EC 2.4.1.14); alpha-glucosyltransferase (EC 2.4.1.52); lipopolysaccharide N-acetylglucosaminyltransferase (EC 2.4.1.56); phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57); GDP-Man: Man1GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase (EC 2.4.1.132); GDP-Man: Man3GlcNAc2-PP-dolichol/Man4GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase (EC 2.4.1.131); digalactosyldiacylglycerol synthase (EC 2.4.1.141); 1,2-diacylglycerol 3-glucosyltransferase (EC 2.4.1.157); diglucosyl diacylglycerol synthase (EC 2.4.1.208); trehalose phosphorylase (EC 2.4.1.231); NDP-Glc: alpha-glucose alpha-glucosyltransferase / alpha,alpha-trehalose synthase (EC 2.4.1.245); GDP-Man: Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase (EC 2.4.1.257); UDP-GlcNAc: 2-deoxystreptamine alpha-N-acetylglucosaminyltransferase (EC 2.4.1.283); UDP-GlcNAc: ribostamycin alpha-N-acetylglucosaminyltransferase (EC 2.4.1.285); UDP-Gal alpha-galactosyltransferase (EC 2.4.1.-); UDP-Xyl alpha-xylosyltransferase (EC 2.4.2.-); UDP-GlcA alpha-glucuronyltransferase (EC 2.4.1.-); UDP-Glc alpha-glucosyltransferase (EC 2.4.1.-); UDP-GalNAc: GalNAc-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.306); UDP-GalNAc: N,N'-diacetylbacillosaminyl-PP-Und alpha-1,3-N-acetylgalactosaminyltransferase (EC 2.4.1.290); ADP-dependent alpha-maltose-1-phosphate synthase (2.4.1.342); [retaining] UDP-GlcNAc: polypeptide alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-); UDP-GlcNAc: alpha-N-acetylglucosaminyltransferase (EC 2.4.1.-)	2.4.1.131,2.4.1.13,2.4.1.14,2.4.1.157,2.4.1.198,2.4.1.208,2.4.1.21,2.4.1.231,2.4.1.241,2.4.1.245,2.4.1.252,2.4.1.257,2.4.1.270,2.4.1.283,2.4.1.285,2.4.1.290,2.4.1.342,2.4.1.57,2.4.1.-,2.4.2.-,2.4.1.132	GT4.hmm	0
AM-388-B05_contigs_AM-388-B05_NODE_6_19	AM-388-B05_contigs	AM-388-B05_NODE_6	19	20411	21193	-1	D										ABC-2 family transporter protein [PF12730.10]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_20	AM-388-B05_contigs	AM-388-B05_NODE_6	20	21190	22119	-1	C	K01990	ABC-2 type transport system ATP-binding protein								ABC transporter [PF00005.30]; AAA domain, putative AbiEii toxin, Type IV TA system [PF13304.9]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_21	AM-388-B05_contigs	AM-388-B05_NODE_6	21	22172	22774	-1	D										Bacterial regulatory proteins, tetR family [PF00440.26]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_22	AM-388-B05_contigs	AM-388-B05_NODE_6	22	23158	23349	-1	C	K03704	cold shock protein								'Cold-shock' DNA-binding domain [PF00313.25]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_23	AM-388-B05_contigs	AM-388-B05_NODE_6	23	23611	24351	1	D			MER0631036	C26	MER0631036 - family C26 unassigned peptidases (Phoenix dactylifera) [C26.UPW]#C26#{peptidase unit: 27-221}~source XP_008778808~	False	0.287	78.0	1.2e-14	Glutamine amidotransferase class-I [PF00117.31]; Peptidase C26 [PF07722.16]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_24	AM-388-B05_contigs	AM-388-B05_NODE_6	24	24489	25520	-1	D										Fibrobacter succinogenes major domain (Fib_succ_major) [PF09603.13]; Bacterial Ig domain [PF17957.4]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_25	AM-388-B05_contigs	AM-388-B05_NODE_6	25	25681	27834	-1	D										Domain of unknown function (DUF5916) [PF19313.2]; Carbohydrate family 9 binding domain-like [PF06452.14]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_26	AM-388-B05_contigs	AM-388-B05_NODE_6	26	28095	29411	-1	D										DEAD/DEAH box helicase [PF00270.32]; Helicase conserved C-terminal domain [PF00271.34]; DbpA RNA binding domain [PF03880.18]; Type III restriction enzyme, res subunit [PF04851.18]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_27	AM-388-B05_contigs	AM-388-B05_NODE_6	27	29466	29693	1	D										DNA-binding protein VF530 [PF09905.12]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_28	AM-388-B05_contigs	AM-388-B05_NODE_6	28	29698	31026	-1	D										Amino acid permease [PF13520.9]; Amino acid permease [PF00324.24]					0
AM-388-B05_contigs_AM-388-B05_NODE_6_29	AM-388-B05_contigs	AM-388-B05_NODE_6	29	31047	31550	-1	D										Trimethylamine methyltransferase (MTTB) [PF06253.14]					0
AM-388-B05_contigs_AM-388-B05_NODE_60_1	AM-388-B05_contigs	AM-388-B05_NODE_60	1	135	425	1	C	K09158	uncharacterized protein								Protein of unknown function (DUF493) [PF04359.17]					0
AM-388-B05_contigs_AM-388-B05_NODE_60_2	AM-388-B05_contigs	AM-388-B05_NODE_60	2	427	813	1	C	K06199	fluoride exporter								CrcB-like protein, Camphor Resistance (CrcB) [PF02537.18]					0
AM-388-B05_contigs_AM-388-B05_NODE_60_3	AM-388-B05_contigs	AM-388-B05_NODE_60	3	813	1148	1	C	K09137	uncharacterized protein								Uncharacterized ACR, COG1993 [PF02641.18]					0
AM-388-B05_contigs_AM-388-B05_NODE_60_4	AM-388-B05_contigs	AM-388-B05_NODE_60	4	1154	1723	1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_60_5	AM-388-B05_contigs	AM-388-B05_NODE_60	5	1810	2079	1	C	K01512	acylphosphatase [EC:3.6.1.7]								Acylphosphatase [PF00708.21]					0
AM-388-B05_contigs_AM-388-B05_NODE_60_6	AM-388-B05_contigs	AM-388-B05_NODE_60	6	2249	3484	1	D										DEAD/DEAH box helicase [PF00270.32]; Helicase conserved C-terminal domain [PF00271.34]; Type III restriction enzyme, res subunit [PF04851.18]					0
AM-388-B05_contigs_AM-388-B05_NODE_60_7	AM-388-B05_contigs	AM-388-B05_NODE_60	7	3638	6298	1	D										Sortilin, neurotensin receptor 3, [PF15902.8]; Photosynthesis system II assembly factor YCF48 [PF14870.9]	GH74	GH74 endoglucanase (EC 3.2.1.4); oligoxyloglucan reducing end-specific cellobiohydrolase (EC 3.2.1.150); xyloglucanase (EC 3.2.1.151)	3.2.1.150,3.2.1.151,3.2.1.4	GH74.hmm	0
AM-388-B05_contigs_AM-388-B05_NODE_60_8	AM-388-B05_contigs	AM-388-B05_NODE_60	8	6411	6857	-1	D										FKBP-type peptidyl-prolyl cis-trans isomerase [PF00254.31]					0
AM-388-B05_contigs_AM-388-B05_NODE_60_9	AM-388-B05_contigs	AM-388-B05_NODE_60	9	6867	7211	-1	D										FKBP-type peptidyl-prolyl cis-trans isomerase [PF00254.31]					0
AM-388-B05_contigs_AM-388-B05_NODE_60_10	AM-388-B05_contigs	AM-388-B05_NODE_60	10	7256	7846	-1	D			MER0354315	S12	MER0354315 - family S12 unassigned peptidases (Pontibacter sp. BAB1700) [S12.UPW]#S12#{peptidase unit: 38-222}~source ZP_10399848~	False	0.714	266.0	4.573e-80	Beta-lactamase [PF00144.27]					0
AM-388-B05_contigs_AM-388-B05_NODE_61_1	AM-388-B05_contigs	AM-388-B05_NODE_61	1	1	1668	1	D										alpha-L-rhamnosidase [PF17132.7]	GH106	GH106 alpha-L-rhamnosidase (EC 3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC 3.2.1.174)	3.2.1.174,3.2.1.40	GH106.hmm	0
AM-388-B05_contigs_AM-388-B05_NODE_61_2	AM-388-B05_contigs	AM-388-B05_NODE_61	2	1997	3697	1	C	K06928	nucleoside-triphosphatase [EC:3.6.1.15]													0
AM-388-B05_contigs_AM-388-B05_NODE_61_3	AM-388-B05_contigs	AM-388-B05_NODE_61	3	3777	6143	-1	C	K02004	putative ABC transport system permease protein								FtsX-like permease family [PF02687.24]; MacB-like periplasmic core domain [PF12704.10]					0
AM-388-B05_contigs_AM-388-B05_NODE_61_4	AM-388-B05_contigs	AM-388-B05_NODE_61	4	6377	6679	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_61_5	AM-388-B05_contigs	AM-388-B05_NODE_61	5	7332	7490	1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_62_1	AM-388-B05_contigs	AM-388-B05_NODE_62	1	3	287	-1	D										Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF13560.9]; Helix-turn-helix domain [PF13744.9]					0
AM-388-B05_contigs_AM-388-B05_NODE_62_2	AM-388-B05_contigs	AM-388-B05_NODE_62	2	443	634	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_62_3	AM-388-B05_contigs	AM-388-B05_NODE_62	3	855	3032	-1	C	K03782	catalase-peroxidase [EC:1.11.1.21]								Peroxidase [PF00141.26]	AA2	AA2 manganese peroxidase (EC 1.11.1.13); versatile peroxidase (EC 1.11.1.16); lignin peroxidase (EC 1.11.1.14); peroxidase (EC 1.11.1.-); cytochrome-c peroxidase (EC 1.11.1.5); ascorbate peroxidase (EC 1.11.1.11)	1.11.1.11,1.11.1.13,1.11.1.14,1.11.1.16,1.11.1.5,1.11.1.-	AA2.hmm	0
AM-388-B05_contigs_AM-388-B05_NODE_62_4	AM-388-B05_contigs	AM-388-B05_NODE_62	4	3260	5806	-1	C	K01595	phosphoenolpyruvate carboxylase [EC:4.1.1.31]								Phosphoenolpyruvate carboxylase [PF00311.20]					0
AM-388-B05_contigs_AM-388-B05_NODE_62_5	AM-388-B05_contigs	AM-388-B05_NODE_62	5	6002	6334	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_62_6	AM-388-B05_contigs	AM-388-B05_NODE_62	6	6474	7313	-1	C	K14623	DNA-damage-inducible protein D								BRO family, N-terminal domain [PF02498.20]					0
AM-388-B05_contigs_AM-388-B05_NODE_63_1	AM-388-B05_contigs	AM-388-B05_NODE_63	1	3	275	1	C	K03832	periplasmic protein TonB								Gram-negative bacterial TonB protein C-terminal [PF03544.17]					0
AM-388-B05_contigs_AM-388-B05_NODE_63_2	AM-388-B05_contigs	AM-388-B05_NODE_63	2	373	1191	1	C	K03442	small conductance mechanosensitive channel								Mechanosensitive ion channel [PF00924.21]					0
AM-388-B05_contigs_AM-388-B05_NODE_63_3	AM-388-B05_contigs	AM-388-B05_NODE_63	3	1201	2073	1	D										Protein of unknown function (DUF3078) [PF11276.11]					0
AM-388-B05_contigs_AM-388-B05_NODE_63_4	AM-388-B05_contigs	AM-388-B05_NODE_63	4	2135	2602	1	D										Acetyltransferase (GNAT) family [PF00583.28]; Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) domain [PF13508.10]; Acetyltransferase (GNAT) domain [PF13420.10]; FR47-like protein [PF08445.13]					0
AM-388-B05_contigs_AM-388-B05_NODE_63_5	AM-388-B05_contigs	AM-388-B05_NODE_63	5	2607	3098	1	C	K07095	uncharacterized protein													0
AM-388-B05_contigs_AM-388-B05_NODE_63_6	AM-388-B05_contigs	AM-388-B05_NODE_63	6	3101	3571	-1	D										Domain of unknown function (DUF4293) [PF14126.9]					0
AM-388-B05_contigs_AM-388-B05_NODE_63_7	AM-388-B05_contigs	AM-388-B05_NODE_63	7	3836	5530	1	C	K03628	transcription termination factor Rho								ATP synthase alpha/beta family, nucleotide-binding domain [PF00006.28]; Rho termination factor, RNA-binding domain [PF07497.15]; Rho termination factor, N-terminal domain [PF07498.15]					0
AM-388-B05_contigs_AM-388-B05_NODE_63_8	AM-388-B05_contigs	AM-388-B05_NODE_63	8	5563	6927	-1	C	K02558	UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]								Mur ligase middle domain [PF08245.15]; Mur ligase family, catalytic domain [PF01225.28]; Mur ligase family, glutamate ligase domain [PF02875.24]					0
AM-388-B05_contigs_AM-388-B05_NODE_63_9	AM-388-B05_contigs	AM-388-B05_NODE_63	9	7004	7474	1	D										Phosphoadenosine phosphosulfate reductase family [PF01507.22]					0
AM-388-B05_contigs_AM-388-B05_NODE_64_1	AM-388-B05_contigs	AM-388-B05_NODE_64	1	1	159	1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_64_2	AM-388-B05_contigs	AM-388-B05_NODE_64	2	160	1479	1	D										Putative ATP-dependent DNA helicase recG C-terminal [PF13749.9]; Putative DNA-binding domain [PF04326.17]					0
AM-388-B05_contigs_AM-388-B05_NODE_64_3	AM-388-B05_contigs	AM-388-B05_NODE_64	3	1552	1698	1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_64_4	AM-388-B05_contigs	AM-388-B05_NODE_64	4	1698	2972	1	D										Uncharacterized protein conserved in bacteria (DUF2130) [PF09903.12]					0
AM-388-B05_contigs_AM-388-B05_NODE_64_5	AM-388-B05_contigs	AM-388-B05_NODE_64	5	3056	3901	1	C	K02342	DNA polymerase III subunit epsilon [EC:2.7.7.7]								Exonuclease [PF00929.27]; 3'-5' exoribonuclease Rv2179c-like domain [PF16473.8]					0
AM-388-B05_contigs_AM-388-B05_NODE_64_6	AM-388-B05_contigs	AM-388-B05_NODE_64	6	3901	4065	1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_64_7	AM-388-B05_contigs	AM-388-B05_NODE_64	7	4250	4999	1	D										Family of unknown function (DUF6577) [PF20217.1]					0
AM-388-B05_contigs_AM-388-B05_NODE_64_8	AM-388-B05_contigs	AM-388-B05_NODE_64	8	4999	5298	1	D										Nucleotidyl transferase AbiEii toxin, Type IV TA system [PF08843.14]					0
AM-388-B05_contigs_AM-388-B05_NODE_64_9	AM-388-B05_contigs	AM-388-B05_NODE_64	9	5307	6215	1	D										Nucleotidyl transferase AbiEii toxin, Type IV TA system [PF08843.14]					0
AM-388-B05_contigs_AM-388-B05_NODE_65_1	AM-388-B05_contigs	AM-388-B05_NODE_65	1	1	177	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_65_2	AM-388-B05_contigs	AM-388-B05_NODE_65	2	225	1217	1	D										Acyl-protein synthetase, LuxE [PF04443.15]					0
AM-388-B05_contigs_AM-388-B05_NODE_65_3	AM-388-B05_contigs	AM-388-B05_NODE_65	3	1214	1888	-1	D										SOS response associated peptidase (SRAP) [PF02586.17]					0
AM-388-B05_contigs_AM-388-B05_NODE_65_4	AM-388-B05_contigs	AM-388-B05_NODE_65	4	1890	2327	-1	C	K03574	8-oxo-dGTP diphosphatase [EC:3.6.1.55]								NUDIX domain [PF00293.31]					0
AM-388-B05_contigs_AM-388-B05_NODE_65_5	AM-388-B05_contigs	AM-388-B05_NODE_65	5	2545	3066	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_65_6	AM-388-B05_contigs	AM-388-B05_NODE_65	6	3246	3929	-1	C	K07056	16S rRNA (cytidine1402-2'-O)-methyltransferase [EC:2.1.1.198]								Tetrapyrrole (Corrin/Porphyrin) Methylases [PF00590.23]					0
AM-388-B05_contigs_AM-388-B05_NODE_65_7	AM-388-B05_contigs	AM-388-B05_NODE_65	7	3935	4765	-1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_65_8	AM-388-B05_contigs	AM-388-B05_NODE_65	8	4954	5535	1	C	K00857	thymidine kinase [EC:2.7.1.21]								Thymidine kinase [PF00265.21]					0
AM-388-B05_contigs_AM-388-B05_NODE_65_9	AM-388-B05_contigs	AM-388-B05_NODE_65	9	5866	6507	1	D										Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD [PF00160.24]					0
AM-388-B05_contigs_AM-388-B05_NODE_65_10	AM-388-B05_contigs	AM-388-B05_NODE_65	10	6512	7171	1	C	K01889	phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]								tRNA synthetases class II core domain (F) [PF01409.23]; Aminoacyl tRNA synthetase class II, N-terminal domain [PF02912.21]					0
AM-388-B05_contigs_AM-388-B05_NODE_66_1	AM-388-B05_contigs	AM-388-B05_NODE_66	1	50	949	-1	D										Transposase DDE domain [PF13612.9]; Transposase DDE domain [PF01609.24]					0
AM-388-B05_contigs_AM-388-B05_NODE_66_2	AM-388-B05_contigs	AM-388-B05_NODE_66	2	1282	3330	1	D										Molybdopterin oxidoreductase [PF00384.25]; Molydopterin dinucleotide binding domain [PF01568.24]					0
AM-388-B05_contigs_AM-388-B05_NODE_66_3	AM-388-B05_contigs	AM-388-B05_NODE_66	3	3428	3973	1	D										Pyridoxamine 5'-phosphate oxidase like [PF16242.8]; Pyridoxamine 5'-phosphate oxidase [PF01243.23]					0
AM-388-B05_contigs_AM-388-B05_NODE_66_4	AM-388-B05_contigs	AM-388-B05_NODE_66	4	4299	4745	1	E															0
AM-388-B05_contigs_AM-388-B05_NODE_66_5	AM-388-B05_contigs	AM-388-B05_NODE_66	5	4747	4983	1	C	K07729	putative transcriptional regulator								Helix-turn-helix domain [PF12844.10]; Helix-turn-helix [PF01381.25]; Helix-turn-helix domain [PF13560.9]					0
AM-388-B05_contigs_AM-388-B05_NODE_66_6	AM-388-B05_contigs	AM-388-B05_NODE_66	6	5194	5826	1	D										Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF13649.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF08242.15]; Tellurite resistance protein TehB [PF03848.17]					0
AM-388-B05_contigs_AM-388-B05_NODE_66_7	AM-388-B05_contigs	AM-388-B05_NODE_66	7	5860	6702	1	D										Putative redox-active protein (C_GCAxxG_C_C) [PF09719.13]					0
AM-388-B05_contigs_AM-388-B05_NODE_67_1	AM-388-B05_contigs	AM-388-B05_NODE_67	1	3	395	1	D										Acetyltransferase (GNAT) domain [PF13508.10]; Acetyltransferase (GNAT) family [PF00583.28]; Acetyltransferase (GNAT) domain [PF13673.10]; FR47-like protein [PF08445.13]; Acetyltransferase (GNAT) domain [PF13420.10]					0
AM-388-B05_contigs_AM-388-B05_NODE_67_2	AM-388-B05_contigs	AM-388-B05_NODE_67	2	400	1821	1	C	K03307	solute:Na+ symporter, SSS family								Sodium:solute symporter family [PF00474.20]					0
AM-388-B05_contigs_AM-388-B05_NODE_67_3	AM-388-B05_contigs	AM-388-B05_NODE_67	3	1873	3012	1	D			MER0051366	M20D	MER0051366 - family M20D unassigned peptidases (Chlorobium phaeobacteroides) [M20.UPD]#M20D#{peptidase unit: 2-373}~source EAM62397~	True	0.7	520.0	1.833e-164	Peptidase family M20/M25/M40 [PF01546.31]					0
AM-388-B05_contigs_AM-388-B05_NODE_67_4	AM-388-B05_contigs	AM-388-B05_NODE_67	4	3002	4165	1	C	K01775	alanine racemase [EC:5.1.1.1]								Alanine racemase, C-terminal domain [PF00842.24]; Alanine racemase, N-terminal domain [PF01168.23]					0
AM-388-B05_contigs_AM-388-B05_NODE_67_5	AM-388-B05_contigs	AM-388-B05_NODE_67	5	4200	5024	1	C	K00930	acetylglutamate kinase [EC:2.7.2.8]								Amino acid kinase family [PF00696.31]					0
AM-388-B05_contigs_AM-388-B05_NODE_67_6	AM-388-B05_contigs	AM-388-B05_NODE_67	6	5038	6237	1	C	K00821	acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]								Aminotransferase class-III [PF00202.24]					0
AM-388-B05_contigs_AM-388-B05_NODE_67_7	AM-388-B05_contigs	AM-388-B05_NODE_67	7	6230	6832	1	C	K00145	N-acetyl-gamma-glutamyl-phosphate reductase [EC:1.2.1.38]								Semialdehyde dehydrogenase, NAD binding domain [PF01118.27]; Semialdehyde dehydrogenase, dimerisation domain [PF02774.21]					0
AM-388-B05_contigs_AM-388-B05_NODE_68_1	AM-388-B05_contigs	AM-388-B05_NODE_68	1	87	2123	1	D										Outer membrane protein Omp28 [PF11551.11]; Concanavalin A-like lectin/glucanases superfamily [PF13385.9]; Secretion system C-terminal sorting domain [PF18962.3]					0
AM-388-B05_contigs_AM-388-B05_NODE_68_2	AM-388-B05_contigs	AM-388-B05_NODE_68	2	2302	3318	-1	C	K04655	hydrogenase expression/formation protein HypE								AIR synthase related protein, C-terminal domain [PF02769.25]; AIR synthase related protein, N-terminal domain [PF00586.27]					0
AM-388-B05_contigs_AM-388-B05_NODE_68_3	AM-388-B05_contigs	AM-388-B05_NODE_68	3	3456	4538	-1	C	K04654	hydrogenase expression/formation protein HypD								Hydrogenase formation hypA family [PF01924.19]					0
AM-388-B05_contigs_AM-388-B05_NODE_68_4	AM-388-B05_contigs	AM-388-B05_NODE_68	4	4713	4976	-1	C	K04653	hydrogenase expression/formation protein HypC								HupF/HypC family [PF01455.21]					0
AM-388-B05_contigs_AM-388-B05_NODE_68_5	AM-388-B05_contigs	AM-388-B05_NODE_68	5	5009	6769	-1	C	K04656	hydrogenase maturation protein HypF								Telomere recombination [PF01300.21]; HypF Kae1-like domain [PF17788.4]; tRNA N6-adenosine threonylcarbamoyltransferase [PF00814.28]; HypF finger [PF07503.15]					0
